word,lemma,POS,IC
maestro,maestro,nms,NC_o
último,último,n,NC_o
banco,banco,nms,NC_o
edificio,edificio,nms,NC_o
plata,plata,nms,NC_a
cama,cama,nfs,NC_a
recurso,recurso,nms,NC_o
perro,perro,nms,NC_o
rostro,rostro,nms,NC_o
plataforma,plataforma,nfs,NC_a
técnica,técnica,nfs,NC_a
saludo,saludo,nms,NC_o
idioma,idioma,nms,NC_a
costa,costa,nfs,NC_a
planta,planta,nfs,NC_a
intento,intento,nms,NC_o
protagonista,protagonista,nms,NC_a
foro,foro,nms,NC_o
crítica,crítica,nfs,NC_a
consejo,consejo,nms,NC_o
cuento,cuento,nms,NC_o
petróleo,petróleo,nms,NC_o
esencia,esencia,nfs,NC_a
formato,formato,nms,NC_o
compañero,compañero,nms,NC_o
silencio,silencio,nms,NC_o
criterio,criterio,nms,NC_o
llamado,llamado,nms,NC_o
ventaja,ventaja,nfs,NC_a
toma,toma,nfs,NC_a
tono,tono,nms,NC_o
piedra,piedra,nfs,NC_a
plaza,plaza,nfs,NC_a
caja,caja,nfs,NC_a
mentira,mentira,nfs,NC_a
hermana,hermana,nfs,NC_a
clima,clima,nms,NC_a
caída,caída,nfs,NC_a
cita,cita,nfs,NC_a
basura,basura,nfs,NC_a
letra,letra,nfs,NC_a
esposo,esposo,nms,NC_o
piso,piso,nms,NC_o
dictadura,dictadura,nfs,NC_a
vino,vino,nms,NC_o
ciudadano,ciudadano,nms,NC_o
madera,madera,nms,NC_a
enemigo,enemigo,nms,NC_o
audiencia,audiencia,nfs,NC_a
escala,escala,n,NC_a
playa,playa,nfs,NC_a
llamada,llamada,nfs,NC_a
abogado,abogado,nms,NC_o
chico,chico,nms,NC_o
cuadro,cuadro,nms,NC_o
ánimo,ánimo,n,NC_o
partida,partida,nfs,NC_a
plano,plano,nms,NC_o
apertura,apertura,nfs,NC_a
poeta,poeta,nms,NC_a
dueño,dueño,nms,NC_o
infancia,infancia,nfs,NC_a
promedio,promedio,nms,NC_o
capitalismo,capitalismo,nms,NC_o
triunfo,triunfo,nms,NC_o
regreso,regreso,nms,NC_o
ventana,ventana,nfs,NC_a
odio,odio,nms,NC_o
funcionario,funcionario,nms,NC_o
denuncia,denuncia,nfs,NC_a
sonrisa,sonrisa,nfs,NC_a
mierda,mierda,nms,NC_a
mecanismo,mecanismo,nms,NC_o
papa,papa,nms,NC_a
periodismo,periodismo,nms,NC_o
novia,novia,nfs,NC_a
patrimonio,patrimonio,nms,NC_o
alimento,alimento,nms,NC_o
anuncio,anuncio,nms,NC_o
orgullo,orgullo,nms,NC_o
baño,baño,nms,NC_o
espalda,espalda,nfs,NC_a
pecho,pecho,nms,NC_o
máximo,máximo,nms,NC_o
postura,postura,nfs,NC_a
novio,novio,nms,NC_o
uso,uso,n,NC_o
extranjero,extranjero,nms,NC_o
seguro,seguro,nms,NC_o
reino,reino,nms,NC_o
carretera,carretera,nfs,NC_a
emergencia,emergencia,nfs,NC_a
estadio,estadio,nms,NC_o
dato,dato,nms,NC_o
fruto,fruto,nms,NC_o
diagnóstico,diagnóstico,nms,NC_o
paro,paro,nms,NC_o
puerto,puerto,nms,NC_o
regalo,regalo,nms,NC_o
cobertura,cobertura,nfs,NC_a
suma,suma,nfs,NC_a
cuello,cuello,nms,NC_o
permiso,permiso,nms,NC_o
técnico,técnico,nms,NC_o
ruido,ruido,nms,NC_o
luna,luna,nfs,NC_a
descanso,descanso,nms,NC_o
pieza,pieza,nfs,NC_a
misterio,misterio,nms,NC_o
carro,carro,nms,NC_o
asesinato,asesinato,nms,NC_o
doctrina,doctrina,nfs,NC_a
cosa,cosa,n,NC_a
político,político,nms,NC_o
periódico,periódico,nms,NC_o
señora,señora,nfs,NC_a
vuelo,vuelo,nms,NC_o
ignorancia,ignorancia,nfs,NC_a
