word,lemma_old,POS_old,IC_old,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list,lemma_new,POS_new,IC_new
consejo,consejo,nms    ,NC_O,"advice, council",,,,1,also v,,1,,,,,0,,1,consejo,nms,nc_o
consejo,consejo,nms    ,NC_O,"advice, council",,,,1,also v,,1,,,,,0,,1,consejo,n,nc_o
copa,copa,nfs    ,NC_A,glass,,,,1,also V,,1,,,,,0,,1,copa,nfs,nc_a
copo,copo,nms    ,NC_O,flake (cereal),,,,1,also V,,1,,,,,0,,1,copo,nms,nc_o
cordada,cordada,nfs    ,NC_A,rope team,,,,1,also Adj,,,1,,,,0,,1,cordada,nfs,nc_a
cordado,cordado,nms    ,NC_O,chordate,,,,1,also Adj,,,1,,,,0,,1,cordado,nms,nc_o
corrida,corrida,nfs    ,NC_A,"sprint, bulfight",,,,1,adj,,,1,,,,0,,1,corrida,nfs,nc_a
corrido,corrido,nms    ,NC_O,folk song (MX),,,,1,adj,,,1,,,,0,,1,corrido,nms,nc_o
corta,corta,nfs    ,NC_A,cutting (of trees),,,,1,adj/v,,1,1,,,,0,,1,corta,nfs,nc_a
cortada,cortada,nfs    ,NC_A,"cut (LA), shortcut (AG, BV, UR)",,,,1,Adj/V,,1,1,,,,0,,1,cortada,nfs,nc_a
cortado,cortado,nms    ,NC_O,coffee,,,,1,Adj/V,,1,1,,,,0,,1,cortado,nms,nc_o
corto,corto,nms    ,NC_O,short (film),,,,1,Adj/V,,1,1,,,,0,,1,corto,nms,nc_o
corva,corva,nfs    ,NC_A,ham (back of knee),,,,1,adj/v,,1,1,,,,0,,1,corva,nfs,nc_a
corvo,corvo,nms    ,NC_O,hook,,,,1,adj/v,,1,1,,,,0,,1,corvo,nms,nc_o
cosa,cosa,n,NC_A,thing,,,,1,adj/v,,1,1,,,,0,,1,cosa,nfs,nc_a
cosa,cosa,n,NC_A,thing,,,,1,adj/v,,1,1,,,,0,,1,cosa,n,nc_a
coso,coso,nms    ,NC_O,"bullring, woodowrm, thingy",,,,1,adj/v,,1,1,,,,0,,1,coso,nms,nc_o
cuadra,cuadra,nfs    ,NC_A,"city block (LA), stable, ward",,,,1,V,,1,,,,,0,,1,cuadra,nfs,nc_a
cuadra,cuadra,nfs    ,NC_A,"city block (LA), stable, ward",,,,1,V,,1,,,,,0,,1,cuadra,n,nc_a
cuadra,cuadra,nfs    ,NC_A,"city block (LA), stable, ward",,,,1,V,,1,,,,,0,,1,cuadro,n,nc_o
cuadro,cuadro,n,NC_O,"square, rectanlge",,,,1,V,,1,,,,,0,,1,cuadro,nms,nc_o
cuadro,cuadro,n,NC_O,"square, rectanlge",,,,1,V,,1,,,,,0,,1,cuadro,n,nc_o
cubierta,cubierta,nfs    ,NC_A,"cover, envelope, sheath, hood",,,,1,Adj/V,,1,1,,,,0,,1,cubierta,nfs,nc_a
cubierto,cubierto,nms    ,NC_O,cutlery,,,,1,Adj/V,,1,1,,,,0,,1,cubierto,nms,nc_o
cuca,cuca,nfs    ,NC_A,"earth almond, caterpillar, gambling woman, penis, cookie",1,,,1,Adj,,,1,,,,0,,1,cuca,nfs,nc_a
cuco,cuco,nms    ,NC_O,"cuckoo, bogeyman",1,,,1,ADJ,,,1,,,,0,,1,cuco,nms,nc_o
cuenta,cuenta,nfs    ,NC_A,"count, talley, tab, report",,,,1,V,,1,,,,,0,,1,cuenta,nfs,nc_a
cuento,cuento,n,NC_O,Story,,,,1,V,,1,,,,,0,,1,cuento,nms,nc_o
cuento,cuento,n,NC_O,Story,,,,1,V,,1,,,,,0,,1,cuento,n,nc_o
custodia,custodia,nfs    ,NC_A,custody,,,,1,V,,1,,,,,0,,1,custodia,nfs,nc_a
custodio,custodio,nms    ,NC_O,"Guardian, keeper, custodian",1,,,1,V,,1,,,,,0,,1,custodio,nms,nc_o
cu̱a,cu̱a,nfs    ,NC_A,"wedge, chock",,,,1,V,,1,,,,,0,,1,cu̱a,nfs,nc_a
cu̱a,cu̱a,nfs    ,NC_A,"wedge, chock",,,,1,V,,1,,,,,0,,1,cu̱a,n,nc_a
cu̱o,cu̱o,nms    ,NC_O,stamp,,,,1,V,,1,,,,,0,,1,cu̱o,nms,nc_o
cu̱o,cu̱o,nms    ,NC_O,stamp,,,,1,V,,1,,,,,0,,1,cu̱o,n,nc_o
data,data,nfs    ,NC_A,date,,,,1,V,,1,,,,,0,,1,data,nfs,nc_a
dato,dato,n,NC_O,Datum (piece of info),,,,1,V,,1,,,,,0,,1,dato,nms,nc_o
dato,dato,n,NC_O,Datum (piece of info),,,,1,V,,1,,,,,0,,1,dato,n,nc_o
derecha,derecha,nfs    ,NC_A,right,,,,1,Adj,,,1,,,,0,,1,derecha,nfs,nc_a
derecho,derecho,nms    ,NC_O,Right (in law),,,,1,Adj,,,1,,,,0,,1,derecho,nms,nc_o
desgana,desgana,nfs    ,NC_A,reluctance,,,,1,V,,1,,,,,0,,1,desgana,nfs,nc_a
desgano,desgano,nms    ,NC_O,Apathy,,,,1,V,,1,,,,,0,,1,desgano,nms,nc_o
diestra,diestra,nfs    ,NC_A,right hand (assistant),1,,,1,Adj,,,1,,,,0,,1,diestra,nfs,nc_a
