word,wordID_set,lemma,POS,Inflection_Class,Meaning,Animacy,Innapropriate?,Derivational Morpheme?,Potential,
dueno,{180428},dueño,n,NC_O,"owner, master",1,,,,
dueña,"{10920, 147825, 53578, 265553}",dueña,nfs    ,NC_A,"owner, master",1,,,,
dueño,"{89009, 95771, 24566}",dueño,n,NC_O,"owner, master",1,,,,
día,"{21986, 23635, 30150}",día,nms    ,NC_A,day,,,,,
dío,{188416},dío,n,NC_O,?,,,,,
echada,{176879},echada,nfs    ,NC_A,V,,,,,
echado,{188890},echado,nms    ,NC_O,V,,,,,
egresada,"{56632, 110977, 169688}",egresado,n,NC_O,alumnus,1,,,,
egresado,"{90751, 83495}",egresado,n,NC_O,alumnus,1,,,,
ejecutiva,"{120295, 40999}",ejecutiva,nfs    ,NC_A,executive,1,,,,
ejecutivo,"{186000, 5061}",ejecutivo,nms    ,NC_O,executive,1,,,,
ela,{945233},ela,n,NC_A,?,,,,,
elo,{184103},elo,n,NC_O,?,,,,,
elástica,{124732},elástica,nfs    ,NC_A,Adj,,,,,
elástico,{90994},elástico,nms    ,NC_O,Adj,,,,,
emplea,"{106776, 67734}",empleo,n,NC_O,V,,,,,
empleo,"{37064, 124556, 29421, 170076, 10237}",empleo,n,NC_O,"job, employment",,,,,
empresaria,{25569},empresaria,n,NC_A,businesswoman,1,,,,
empresario,"{64697, 215671}",empresario,nms    ,NC_O,businessman,1,,,,
enamorada,{24725},enamorada,n,NC_A,lover,1,,,,
enamorado,{10256},enamorado,n,NC_O,lover,1,,,,
encargada,{14771},encargada,n,NC_A,person in charge,1,,,,
encargado,{166011},encargado,nms    ,NC_O,person in charge,1,,,,
encina,"{78411, 167486}",encina,nfs    ,NC_A,oak,,,,,
encino,{165703},encino,nms    ,NC_O,oak,,,,,
endoscopia,{76888},endoscopia,n,NC_A,endoscopy,,,,1,
endoscopio,{118439},endoscopio,n,NC_O,endoscope,,,,1,
enemiga,"{37561, 231751}",enemiga,nfs    ,NC_A,enemy,1,,,,
enemigo,"{102918, 150542}",enemigo,nms    ,NC_O,enemy,1,,,,
enfermera,"{11169, 90836}",enfermera,n,NC_A,nurse,1,,,,
enfermero,"{147299, 39597}",enfermero,nms    ,NC_O,nurse,1,,,,
entendia,{128279},entendia,n,NC_A,?,,,,,
entendio,{142910},entendio,n,NC_O,?,,,,,
enterita,{161155},enterito,n,NC_O,Adj,,,,,
enterito,"{126082, 178139}",enterito,n,NC_O,Adj,,,,,
esbirra,{440190},esbirra,n,NC_A,minion,1,,,,
esbirro,{82852},esbirro,nms    ,NC_O,henchmen,1,,,,
escalada,"{191953, 14908}",escalada,nfs    ,NC_A,"increase, rise, climb",,,,,V
escalado,{180443},escalado,nms    ,NC_O,V,,,,,V
escanda,{2654743},escanda,nfs    ,NC_A,V,,,,,
escando,{2654773},escando,n,NC_O,Type of rhy bread,,,,,
escaneala,{2654777},escaneala,n,NC_A,?,,,,,
escanealo,{2654778},escanealo,n,NC_O,?,,,,,
esclava,{26815},esclava,nfs    ,NC_A,slave,1,,,,
esclavo,"{122400, 37411, 10550}",esclavo,nms    ,NC_O,slave,1,,,,
escritoria,{505188},escritoria,n,NC_A,?,,,,,
escritorio,"{5585, 67026}",escritorio,nms    ,NC_O,writing desk; study,,,,,
escucha,"{55680, 10058}",escucha,nms    ,NC_A,"listening, monitoring, tapping, scout",,,,,V
escucho,{27505},escucho,nms    ,NC_O,V,,,,,
esfera,"{83683, 6005, 370246}",esfera,nfs    ,NC_A,"sphere, clock face",,,,1,
esfero,{250938},esfero,nms    ,NC_O,"pen (Col, EC,)",,,,1,
especia,{43056},especia,nfs    ,NC_A,spice,,,,1,V
especio,{220685},espacio,n,NC_O,space,,,,1,V
espina,"{150551, 54612, 25463}",espina,nms    ,NC_A,"thorn, fishbone",,,,1,V
espino,{90996},espino,nms    ,NC_O,"hawthorn, buckthorn",,,,1,V
esposa,"{179520, 50754, 133229}",esposa,nfs    ,NC_A,spouse,1,,,,
esposo,"{57777, 212202, 54852}",esposo,n,NC_O,spouse,1,,,,
esta,{110983},esta,n,NC_A,?,,,,,
estada,{175606},estada,nfs    ,NC_A,"stay, sojourn",,,,1,V
estado,"{13224, 28216, 38030, 42039}",estado,nms    ,NC_O,"country, land, state",,,,1,V
estadía,{12914},estadía,nfs    ,NC_A,"stay, sojourn, demurrage",,,,,
estadío,{116595},estadío,n,NC_O,?,,,,,
estadística,"{53656, 12735}",estadística,nfs    ,NC_A,statistics; statistician,1,,,,Adj
estadístico,"{61091, 163606}",estadístico,nms    ,NC_O,statistician,1,,,,
estampida,{57143},estampida,nfs    ,NC_A,"stampede, fight, bag, crack",,,,1,
estampido,{163952},estampido,nms    ,NC_O,"crack, bang",,,,1,
estera,{108949},estera,nfs    ,NC_A,doormat,,,,1,V
estero,"{63352, 193099}",estero,nms    ,NC_O,"river delta, lagoon",,,,1,V
esto,{115008},esto,n,NC_O,?,,,,,
