word,lemma,POS,IC,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list
cuca,cuca,nfs    ,NC_A,"earth almond, caterpillar, gambling woman, penis, cookie",1,,,1,Adj,,,1,,,,0,,1
cuco,cuco,nms    ,NC_O,"cuckoo, bogeyman",1,,,1,ADJ,,,1,,,,0,,1
cuenta,cuenta,nfs    ,NC_A,"count, talley, tab, report",,,,1,V,,1,,,,,0,,1
cuento,cuento,n,NC_O,Story,,,,1,V,,1,,,,,0,,1
custodia,custodia,nfs    ,NC_A,custody,,,,1,V,,1,,,,,0,,1
custodio,custodio,nms    ,NC_O,"Guardian, keeper, custodian",1,,,1,V,,1,,,,,0,,1
data,data,nfs    ,NC_A,date,,,,1,V,,1,,,,,0,,1
dato,dato,n,NC_O,Datum (piece of info),,,,1,V,,1,,,,,0,,1
derecha,derecha,nfs    ,NC_A,right,,,,1,Adj,,,1,,,,0,,1
derecho,derecho,nms    ,NC_O,Right (in law),,,,1,Adj,,,1,,,,0,,1
desgana,desgana,nfs    ,NC_A,reluctance,,,,1,V,,1,,,,,0,,1
desgano,desgano,nms    ,NC_O,Apathy,,,,1,V,,1,,,,,0,,1
diestra,diestra,nfs    ,NC_A,right hand (assistant),1,,,1,Adj,,,1,,,,0,,1
diestro,diestro,nms    ,NC_O,"Right handed person, bullfighter",,,,1,Adj,,,1,,,,0,,1
diva,diva,nfs    ,NC_A,diva,,,,1,Adj,,,1,,,,0,,1
divo,divo,nms    ,NC_O,"star, celebrity ",,,,1,Adj,,,1,,,,0,,1
doma,doma,nfs    ,NC_A,"horse taming, domestication",,,,1,Adj,,,1,,,,0,,1
domo,domo,nms    ,NC_O,Dome,,,,1,V,,1,,,,,0,,1
dorada,dorada,nfs    ,NC_A,gilt-head bream,,,,1,Adj/V,,1,1,,,,0,,1
dorado,dorado,nms    ,NC_O,"plating with gold, various species of fish",,,,1,Adj/V,,1,1,,,,0,,1
especia,especia,nfs    ,NC_A,spice,,,,1,V,,1,,,,,0,,1
especio,espacio,n,NC_O,space,,,,1,V,,1,,,,,0,,1
espina,espina,nms    ,NC_A,"thorn, fishbone",,,,1,V,,1,,,,,0,,1
espino,espino,nms    ,NC_O,"hawthorn, buckthorn",,,,1,V,,1,,,,,0,,1
estada,estada,nfs    ,NC_A,"stay, sojourn",,,,1,V,,1,,,,,0,,1
estado,estado,nms    ,NC_O,"country, land, state",,,,1,V,,1,,,,,0,,1
estera,estera,nfs    ,NC_A,doormat,,,,1,V,,1,,,,,0,,1
estero,estero,nms    ,NC_O,"river delta, lagoon",,,,1,V,,1,,,,,0,,1
estrena,estrena,nfs    ,NC_A,"gift, present, premiere",,,,1,V,,1,,,,,0,,1
estreno,estreno,nms    ,NC_O,premiere,,,,1,V,,1,,,,,0,,1
faja,faja,nfs    ,NC_A,"strip, belot, corset, sash, lane of highway",,,,1,V,,1,,,,,0,,1
fajo,fajo,nms    ,NC_O,"bundle, wad",,,,1,V,,1,,,,,0,,1
falla,falla,nfs    ,NC_A,"flaw, failure, outage",,,,1,V,,1,,,,,0,,1
fallo,fallo,n,NC_O,"mistake, failure, ruling",,,,1,V,,1,,,,,0,,1
fila,fila,n,NC_A,"line, row, rank",,,,1,V,,1,,,,,0,,1
filo,filo,nms    ,NC_O,"edge, phylum",,,,1,V,,1,,,,,0,,1
flora,flora,nfs    ,NC_A,flora,,,,1,V,,1,,,,,0,,1
floro,floro,n,NC_O,"(peru) lie, deceit",,,,1,V,,1,,,,,0,,1
fosa,fosa,nfs    ,NC_A,"cavity, grave, pit",,,,1,V,,1,,,,,0,,1
foso,foso,nms    ,NC_O,"ditch, moat, trap",,,,1,V,,1,,,,,0,,1
fruta,fruta,nfs    ,NC_A,Fruit,,,,1,V,,1,,,,,0,,1
fruto,fruto,n,NC_O,"any fruit from plant, any vegetable, profit from an activity",,,,1,V,,1,,,,,0,,1
funda,funda,nfs    ,NC_A,"case, bag used to wrap and protect something",,,,1,V,,1,,,,,0,,1
fundo,fundo,nms    ,NC_O,"countryside, estate, farm",,,,1,V,,1,,,,,0,,1
