word,lemma,POS,IC,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list
cochinillo,cochinillo,nms    ,NC_O,suckling pig,1,,,1,,1626,,,,,,29,0.84509804,1
coco,coco,nms    ,NC_O,"coconut, weevil, bogeyman",,,,1,,33932,,,,,,30,2.618048097,1
coleta,coleta,nfs    ,NC_A,"ponytail, exhuatspipe, aftertought",,,,1,,4573,,,,,,31,1.079181246,1
coleto,coleto,nms    ,NC_O,"mop, type of jacket, one's insides",,,,1,mop only in venezuela,219,,,,,,32,0,1
correa,correa,nfs    ,NC_A,"belt, leash",,,,1,,12658,,,,,,33,2.401400541,1
correo,correo,n,NC_O,mail,,,,1,,822099,,,,,,34,3.252367514,1
costa,costa,nfs    ,NC_A,"coast, expense",,,,1,,309519,,,,,,35,3.202215776,1
costo,costo,nms    ,NC_O,cost,,,,1,,528698,,,,,,36,2.707570176,1
cota,cota,nfs    ,NC_A,"coat of arms, elevation",,,,1,,24110,,,,,,37,1.342422681,1
coto,coto,nms    ,NC_O,"preserve, wildlife, landmark, limit",,,,1,,11466,,,,,,38,1.176091259,1
cuarteta,cuarteta,nfs    ,NC_A,four line strophe,,,,1,,1770,,,,,,39,0,1
cuarteto,cuarteto,nms    ,NC_O,quartet,,,,1,,26951,,,,,,40,1.832508913,1
cuba,cuba,np,NC_A,"barrel, Cuba",,,,1,,1020150,,,,,,41,2.677606953,1
cubo,cubo,nms    ,NC_O,"cube, bucket/pail (SP, CB)",,,,1,,12350,,,,,,42,2.5289167,1
cuenca,cuenca,nfs    ,NC_A,"eye socket, watershed, vallue",,,,1,,140432,,,,,,43,1.414973348,1
cuenco,cuenco,nms    ,NC_O,bowl,,,,1,,2444,,,,,,44,1.230448921,1
endoscopia,endoscopia,n,NC_A,endoscopy,,,,1,,1785,,,,,,45,1.146128036,1
endoscopio,endoscopio,n,NC_O,endoscope,,,,1,,653,,,,,,46,0.954242509,1
estampida,estampida,nfs    ,NC_A,"stampede, fight, bag, crack",,,,1,,8522,,,,,,47,1.785329835,1
estampido,estampido,nms    ,NC_O,"crack, bang",,,,1,,339,,,,,,48,0,1
estrada,estrada,nfs    ,NC_A,road,,,,1,,567,,,,,,49,0,1
estrado,estrado,nms    ,NC_O,"platform, court",,,,1,,10757,,,,,,50,2.389166084,1
fauna,fauna,nfs    ,NC_A,fauna,,,,1,,71798,,,,,,51,1.633468456,1
fauno,fauno,nms    ,NC_O,faun,1,,,1,,2370,,,,,,52,1.301029996,1
feta,feta,nfs    ,NC_A,feta cheese,,,,1,,858,,,,,,53,1.041392685,1
feto,feto,nms    ,NC_O,"fetus, hideous person (SP)",,,,1,,21517,,,,,,54,2.149219113,1
fonda,fonda,nfs    ,NC_A,"small restaurant, boarding house, stall/canteen",,,,1,,2874,,,,,,55,1.447158031,1
fondo,fondo,nms    ,NC_O,"bottom, back, fund, ground",,,,1,,556985,,,,,,56,3.442322956,1
gimnasia,gimnasia,nfs    ,NC_A,Gymnastics,,,,1,,81217,,,,,,57,2.50242712,1
gimnasio,gimnasio,nms    ,NC_O,gymnasium,,,,1,,102104,,,,,,58,3.01911629,1
grama,grama,nfs    ,NC_A,"grass, lawn (Carribean)",,,,1,,5745,,,,,,59,1.431363764,1
gramo,gramo,nms    ,NC_O,gram,,,,1,,8285,,,,,,60,1.968482949,1
grupa,grupa,nfs    ,NC_A,haunch (of horses),,,,1,,700,,,,,,61,0,1
grupo,grupo,nms    ,NC_O,"group, party",,,,1,,2881442,,,,,,62,3.718003168,1
hada,hada,nfs    ,NC_A,"fairy, ",,,,1,,4267,,,,,,63,2.517195898,1
hado,hado,nms    ,NC_O,"fate, destiny",,,,1,,504,,,,,,64,0,1
hoya,hoya,nfs    ,NC_A,"pit, grave",,,,1,,471,,,,,,65,0,1
hoyo,hoyo,nms    ,NC_O,hole,,,,1,,19587,,,,,,66,3.007747778,1
ira,ira,nfs    ,NC_A,"anger, ire, wrath, rage",,,,1,,,,,,,,67,,1
iro,iro,n,NC_O,mohawk,,,,1,,,,,,,,68,,1
libreta,libreta,nfs    ,NC_A,notebook,,,,1,,16836,,,,,,69,2.29666519,1
libreto,libreto,nms    ,NC_O,libretto (text of dramatic musical work),,,,1,,17854,,,,,,70,1.812913357,1
loma,loma,nfs    ,NC_A,"hill, suburb",,,,1,,8768,,,,,,71,1.602059991,1
lomo,lomo,nms    ,NC_O,"back (of body), loin, fillet, spine, crease, blunt edge",,,,1,,17906,,,,,,72,2.117271296,1
magnesia,magnesia,nfs    ,NC_A,magnesia (mineral),,,,1,,281,,,,,,73,0,1
magnesio,magnesio,nms    ,NC_O,"magnesium, chalk",,,,1,,10308,,,,,,74,1.612783857,1
mantilla,mantilla,nfs    ,NC_A,lace scarf worn in Spain,,,,1,,2981,,,,,,75,0,1
mantillo,mantillo,nms    ,NC_O,mulch,,,,1,,195,,,,,,76,0,1
minuta,minuta,nfs    ,NC_A,"rought draft, bill, fee, list, minutes (of a meeting)",,,,1,,13612,,,,,,77,0,1
minuto,minuto,n,NC_O,minute,,,,1,,551569,,,,,,78,3.857754522,1
moda,moda,nfs    ,NC_A,"fashion, fad",,,,1,,341662,,,,,,79,3.094121596,1
modo,modo,nms    ,NC_O,"way, manner",,,,1,,649900,,,,,,80,3.81517913,1
morra,morra,nfs    ,NC_A,"upper part of head, morra (game), kid (MX)",,,,1,,129,,,,,,81,0,1
morro,morro,nms    ,NC_O,"hilll, snout, mouth, pebble, headland, kid (MX)",,,,1,,9967,,,,,,82,1.278753601,1
mota,mota,nfs    ,NC_A,"speck, pill (of fabric), fluff",,,,1,,6036,,,,,,83,1.785329835,1
moto,moto,nms    ,NC_O,"short for motorcycle, milestone",,,,1,,172418,,,,,,84,2.853698212,1
onagra,onagra,nfs    ,NC_A,evening primose,,,,1,,107,,,,,,85,0,1
onagro,onagro,nms    ,NC_O,onager,,,,1,,59,,,,,,86,0,1
pepita,pepita,nfs    ,NC_A,"pepita seed, nugget (of gold)",,,,1,,1180,,,,,,87,1.361727836,1
pepito,pepito,nms    ,NC_O,A small sandwich with meat (VZ?),,,,1,,471,,,,,,88,0,1
pina,piña,n,NC_A,border stone,,,,1,WITHOUT �,117,,,,,,89,0,1
pino,pino,nms    ,NC_O,pine,,,,1,,26025,,,,,,90,2.281033367,1
plaza,plaza,n,NC_A,plaza,,,,1,,532984,,,,,,91,2.802089258,1
plazo,plazo,n,NC_O,"perdio, deadline, installment",,,,1,,888796,,,,,,92,2.822821645,1
puerta,puerta,n,NC_A,"door, gate",,,,1,,501293,,,,,,93,4.136149586,1
puerto,puerto,nms    ,NC_O,"port, harbour",,,,1,,295346,,,,,,94,2.903089987,1
pulpa,pulpa,nfs    ,NC_A,"soft part of animals body, pulp ",,,,1,,8628,,,,,,95,1.579783597,1
pulpo,pulpo,nms    ,NC_O,octopus,,,,1,,16384,,,,,,96,1.908485019,1
puntilla,puntilla,nfs    ,NC_A,"dagger, tiptoe, lace",,,1,1,,5359,,,,,,97,0.954242509,1
puntillo,puntillo,nms    ,NC_O,"self-love, a little point",,,1,1,,173,,,,,,98,0,1
rama,rama,nfs    ,NC_A,branch,,,,1,,76922,,,,,,99,2.404833717,1
ramo,ramo,nms    ,NC_O,"bouquet, branch",,,,1,,43599,,,,,,100,2.227886705,1
rodilla,rodilla,nfs    ,NC_A,knee,,,,1,,114180,,,,,,101,2.77815125,1
rodillo,rodillo,nms    ,NC_O,"roller, rolling pin",,,,1,,5246,,,,,,102,1.431363764,1
rumba,rumba,nfs    ,NC_A,rumba dance,,,,1,,12952,,,,,,103,1.556302501,1
rumbo,rumbo,n,NC_O,"course, heading",,,,1,,286061,,,,,,104,2.876794976,1
sátira,sátira,nfs    ,NC_A,satire,,,,1,,10477,,,,,,105,1.51851394,1
sátiro,sátiro,nms    ,NC_O,satyr,,,,1,,611,,,,,,106,0.698970004,1
sigla,sigla,nfs    ,NC_A,"initial, acronym",,,,1,,20151,,,,,,107,0.77815125,1
siglo,siglo,nms    ,NC_O,century,,,,1,,581453,,,,,,108,3.092018471,1
solana,solana,nfs    ,NC_A,"strong sunshine, sun terrace, solarium",,,,1,,179,,,,,,109,1.255272505,1
solano,solano,nms    ,NC_O,nightshade,,,,1,,177,,,,,,110,1.041392685,1
tormenta,tormenta,nfs    ,NC_A,thunderstorm,,,,1,,162988,,,,,,111,3.160168293,1
tormento,tormento,nms    ,NC_O,"torment, torture",,,,1,,5180,,,,,,112,1.838849091,1
tromba,tromba,nfs    ,NC_A,"whirlwind, tornado, waterspout",,,,1,,7060,,,,,,113,1.230448921,1
trombo,trombo,nms    ,NC_O,"thrombos (blood clot), ",,,,1,,646,,,,,,114,0,1
trompa,trompa,n,NC_A,"snout, trunk, (musical) horn, drinking sess",,,,1,,3755,,,,,,115,1.447158031,1
trompo,trompo,nms    ,NC_O,"spinning toy, (car) doghnout",,,,1,,4868,,,,,,116,1.278753601,1
trona,trona,nfs    ,NC_A,highchair,,,,1,,190,,,,,,117,0,1
trono,trono,nms    ,NC_O,throne,,,,1,,45278,,,,,,118,2.539076099,1
verba,verba,nfs    ,NC_A,"Loquacity, gift of the gab",,,,1,,346,,,,,,119,0,1
verbo,verbo,nms    ,NC_O,verb,,,,1,,15594,,,,,,120,1.812913357,1
zanca,zanca,nfs    ,NC_A,"leg of a bird, long thin leg of a person",,,,1,,96,,,,,,121,0,1
zanco,zanco,nms    ,NC_O,stilt,,,,1,,21,,,,,,122,0,1
zapata,zapata,nfs    ,NC_A,"brake shoe, washer (of car)",,,,1,,1270,,,,,,123,1.301029996,1
zapato,zapato,nms    ,NC_O,shoe,,,,1,,19194,,,,,,124,2.85308953,1
autobomba,autobomba,nms    ,NC_A,fire engine,,,,1,,3237,,,,,,NA,,1
bardo,bardo,nms    ,NC_O,bard/conflict,,,,1,,2977,,,,,,NA,,1
biblia,biblia,nms    ,NC_A,bible,,,,1,,39719,,,,,,NA,,1
biblio,biblio,n,NC_O,short for bibliography,,,,1,,0,,,,,,NA,,1
bicha,bicha,nfs    ,NC_A,"beer, brew/ cocaine paste",,1,,1,,781,,,,,,NA,,1
bicho,bicho,nms    ,NC_O,"bug, vermin, beast, vulva, penis",,1,,1,vulgar use only in PR/Venezuela,12141,,,,,,NA,,1
bula,bula,nfs    ,NC_A,"bull, strenght, bubble",,,,1,,1559,,,,,,NA,,1
chorro,chorro,nms    ,NC_O,"flow, jet, tap, faucet",,,,1,,,,,,,,NA,,1
colera,colero,n,NC_O,cholera,,,,1,With accent!!!,,,,,,,NA,,1
esfera,esfera,nfs    ,NC_A,"sphere, clock face",,,,1,,,,,,,,NA,,1
labia,labia,nfs    ,NC_A,"""gift of the gab"" (ability to talk readily",,,,1,,,,,,,,NA,,1
labio,labio,nms    ,NC_O,"lips, labia",,1,,1,,,,,,,,NA,,1
mica,mica,nfs    ,NC_A,mica (mineral),,,,1,,,,,,,,NA,,1
pala,pala,nfs    ,NC_A,"shovel, blade paddle",,,,1,,11874,,,,,,NA,,1
penco,penco,nms    ,NC_O,"weak horse, buffoon",1,,,1,,205,,,,,,NA,,1
pera,pera,nfs    ,NC_A,pear,,,,1,,9086,,,,,,NA,,1
polea,polea,nfs    ,NC_A,pulley,,,,1,,0,,,,,,NA,,1
poleo,poleo,nms    ,NC_O,pennyroyal,,,,1,,474,,,,,,NA,,1
popa,popa,nfs    ,NC_A,stern (of a boat),,,,1,,9998,,,,,,NA,,1
popo,popo,n,NC_O,poopoo,,1,,1,,0,,,,,,NA,,1
ricina,ricina,n,NC_A,ricin,,,,1,,0,,,,,,NA,,1
ricino,ricino,nms    ,NC_O,castor (plant),,,,1,,1097,,,,,,NA,,1
rivera,ribera,n,NC_A,stream,,,,1,,0,,,,,,NA,,1
rivero,rivero,n,NC_O,river,,,,1,,0,,,,,,NA,,1
sena,sena,nfs    ,NC_A,the six on the die,,,,1,,0,,,,,,NA,,1
seno,seno,n,NC_O,"breast, sinus",,,,1,,80072,,,,,,NA,,1
toro,toro,nms    ,NC_O,bull,,,,1,,112622,,,,,,NA,,1
esfero,esfero,nms    ,NC_O,"pen (Col, EC,)",,,,1,,,,,,"Columbia, Ecuador",,NA,,1
tora,tora,nfs    ,NC_A,"(HD, NC) Leatherback turtle",,,,1,,282,,,,"Honduras, Nicaragua",,NA,,1
colero,colero,nms    ,NC_O,bottom-ranked team,,,,1,latin america,,,,,Latin America,,NA,,1
barda,barda,nfs    ,NC_A,fence,,,,1,Mexico,14118,,,,Mexico,,NA,,1
autobombo,autobombo,nms    ,NC_O,self-glorification,,,,1,Only in Spain?,1021,,,,Spain,,NA,,1
bulo,bulo,nms    ,NC_O,canard/hoax,,,,1,only in Spain,2917,,,,Spain,,NA,,1
chucho,chucho,nms    ,NC_O,"mutt, male dog, jail, owl, miser",,,,1,very country specific meaning,,,,,"Spain, Guatemala, El Salvador, Honduras, Chile",,NA,,1
penca,penca,nfs    ,NC_A,"fleshy stock, agave, (CH) penis",,1,,1,Adj (CH) not changeable,919,,,,,Chile,NA,,1
palo,palo,nms    ,NC_O,"stick, strike, rod, (LA) penis",,1,,1,,114627,,,,,Latin America,NA,,1
mico,mico,nms    ,NC_O,"monkey, child, ugly person, vagina (NC)",,,,1,,,,,,,Nicaragua,NA,,1
chucha,chucha,nfs    ,NC_A,"vagina, bitch, body odor",,,,1,innapropriate in South America; all uses are country specific though,,,,,,SA,NA,,1
chorra,chorro,n,NC_O,"luck, chance, penis",,1,,1,ADJ; innapropriate in Spain; adj but doesn't change,,,,,,Spain,NA,,1
¨ama,¨ama,n,NC_A,,,,,,,,,,,,,,,1
¨amo,¨amo,n,NC_O,,,,,,,,,,,,,,,1
¨busca,¨busca,n,NC_A,,,,,,,,,,,,,,,1
¨busco,¨busco,n,NC_O,,,,,,,,,,,,,,,1
¨deja,¨deja,n,NC_A,,,,,,,,,,,,,,,1
¨dejo,¨dejo,n,NC_O,,,,,,,,,,,,,,,1
¨la,¨la,n,NC_A,,,,,,,,,,,,,,,1
¨lo,¨lo,n,NC_O,,,,,,,,,,,,,,,1
¨otra,¨otra,n,NC_A,,,,,,,,,,,,,,,1
¨otro,¨otro,n,NC_O,,,,,,,,,,,,,,,1
¨paga,¨paga,n,NC_A,,,,,,,,,,,,,,,1
¨pago,¨pago,n,NC_O,,,,,,,,,,,,,,,1
¨punta,¨punta,n,NC_A,,,,,,,,,,,,,,,1
¨punto,¨punto,n,NC_O,,,,,,,,,,,,,,,1
±era,±era,n,NC_A,,,,,,,,,,,,,,,1
±ero,±ero,n,NC_O,,,,,,,,,,,,,,,1
°la,°la,n,NC_A,,,,,,,,,,,,,,,1
°lo,°lo,n,NC_O,,,,,,,,,,,,,,,1
°nica,°nica,n,NC_A,,,,,,,,,,,,,,,1
°nico,°nico,n,NC_O,,,,,,,,,,,,,,,1
°stica,°stica,n,NC_A,,,,,,,,,,,,,,,1
°stico,°stico,n,NC_O,,,,,,,,,,,,,,,1
´´a,´´a,n,NC_A,,,,,,,,,,,,,,,1
´´o,´´o,n,NC_O,,,,,,,,,,,,,,,1
´´ya,´´ya,n,NC_A,,,,,,,,,,,,,,,1
´´yo,´´yo,n,NC_O,,,,,,,,,,,,,,,1
´ésta,´ésta,n,NC_A,,,,,,,,,,,,,,,1
´ésto,´ésto,n,NC_O,,,,,,,,,,,,,,,1
´última,´última,n,NC_A,,,,,,,,,,,,,,,1
´último,´último,n,NC_O,,,,,,,,,,,,,,,1
´anda,´anda,n,NC_A,,,,,,,,,,,,,,,1
´ando,´ando,n,NC_O,,,,,,,,,,,,,,,1
´buena,´buena,n,NC_A,,,,,,,,,,,,,,,1
´bueno,´bueno,n,NC_O,,,,,,,,,,,,,,,1
´camina,´camina,n,NC_A,,,,,,,,,,,,,,,1
´camino,´camino,n,NC_O,,,,,,,,,,,,,,,1
´esta,´esta,n,NC_A,,,,,,,,,,,,,,,1
´esto,´esto,n,NC_O,,,,,,,,,,,,,,,1
´la,´la,n,NC_A,,,,,,,,,,,,,,,1
´lo,´lo,n,NC_O,,,,,,,,,,,,,,,1
´nuestra,´nuestra,n,NC_A,,,,,,,,,,,,,,,1
´nuestro,´nuestro,n,NC_O,,,,,,,,,,,,,,,1
´otra,´otra,n,NC_A,,,,,,,,,,,,,,,1
´otro,´otro,n,NC_O,,,,,,,,,,,,,,,1
´santa,´santa,n,NC_A,,,,,,,,,,,,,,,1
´santo,´santo,n,NC_O,,,,,,,,,,,,,,,1
´toma,´toma,n,NC_A,,,,,,,,,,,,,,,1
´tomo,´tomo,n,NC_O,,,,,,,,,,,,,,,1
¾la,¾la,n,NC_A,,,,,,,,,,,,,,,1
¾lo,¾lo,n,NC_O,,,,,,,,,,,,,,,1
buena,buena,n,NC_A,,,,,,,,,,,,,,,1
bueno,bueno,n,NC_O,,,,,,,,,,,,,,,1
esta,esta,n,NC_A,,,,,,,,,,,,,,,1
esto,esto,n,NC_O,,,,,,,,,,,,,,,1
½blica,½blica,n,NC_A,,,,,,,,,,,,,,,1
½blico,½blico,n,NC_O,,,,,,,,,,,,,,,1
½rica,½rica,n,NC_A,,,,,,,,,,,,,,,1
½rico,½rico,n,NC_O,,,,,,,,,,,,,,,1
½stica,½stica,n,NC_A,,,,,,,,,,,,,,,1
½stico,½stico,n,NC_O,,,,,,,,,,,,,,,1
½tula,½tula,n,NC_A,,,,,,,,,,,,,,,1
½tulo,½tulo,n,NC_O,,,,,,,,,,,,,,,1
ánima,ánima,nfs    ,NC_A,,,,,,,,,,,,,,,1
ánimo,ánimo,n,NC_O,,,,,,,,,,,,,,,1
ña,ña,nfs    ,NC_A,,,,,,,,,,,,,,,1
ño,ño,nms    ,NC_O,,,,,,,,,,,,,,,1
óptica,óptica,nfs    ,NC_A,,,,,,,,,,,,,,,1
óptico,óptico,nms    ,NC_O,,,,,,,,,,,,,,,1
abogada,abogada,n,NC_A,lawyer,1,,,,,,,,,,,,,1
abogado,abogado,n,NC_O,lawyer,1,,,,,,,,,,,,,1
abuelita,abuelita,n,NC_A,grandmother,1,,1,,,,,,,,,,,1
abuelito,abuelito,n,NC_O,grandfather,1,,1,,,,,,,,,,,1
accesoria,accesoria,nfs    ,NC_A,accessory,,,,,,,,,,,,,,1
accesorio,accesorio,nms    ,NC_O,accessory,,,,,,,,,,,,,,1
actuaria,actuaria,n,NC_A,Actuary (maker of insurance calculations),1,,,,,,,,,,,,,1
actuario,actuario,nms    ,NC_O,Actuary (maker of insurance calculations),1,,,,,,,,,,,,,1
adúltera,adúltera,nfs    ,NC_A,adulterer,1,,,,,,,,,,,,,1
adúltero,adúltero,nms    ,NC_O,adulterer,1,,,,,,,,,,,,,1
adivina,adivina,nfs    ,NC_A,fortune-teller,1,,,,,,,,,,,,,1
adivino,adivino,nms    ,NC_O,fortune-teller,1,,,,,,,,,,,,,1
adjunta,adjunta,nfs    ,NC_A,assistant,1,,,,,,,,,,,,,1
adjunto,adjunto,nms    ,NC_O,assistant,1,,,,,,,,,,,,,1
adoquinada,adoquinado,n,NC_O,pavement,,,,?,,,,,,,,,,1
adoquinado,adoquinado,nms    ,NC_O,pavement,,,,?,,,,,,,,,,1
adversaria,adversaria,nfs    ,NC_A,adversary,1,,,,,,,,,,,,,1
adversario,adversario,nms    ,NC_O,adversary,1,,,,,,,,,,,,,1
aficionada,aficionado,n,NC_O,supporter,1,,,,,,,,,,,,,1
aficionado,aficionado,nms    ,NC_O,supporter,1,,,,,,,,,,,,,1
aga,aga,n,NC_A,agha (honorific for Ottoman officials,,,,,,,,,,,,,,1
ago,ago,n,NC_O,?,,,,,,,,,,,,,,1
agregada,agregado,n,NC_O,attach�,1,,,,,,,,,,,,,1
agregado,agregado,nms    ,NC_O,attach�,1,,,,,,,,,,,,,1
ahijada,ahijada,nfs    ,NC_A,godchild,1,,,,,,,,,,,,,1
ahijado,ahijado,nms    ,NC_O,godchild,1,,,,,,,,,,,,,1
ala,ala,nfs    ,NC_A,wing,,,,,,,,,,,,,,1
alba,alba,nfs    ,NC_A,dawn,,,,,,,,,,,,,,1
albo,albo,n,NC_O,white (adj),,,,,,,,,,,,,,1
alegra,alegra,nfs    ,NC_A,?,,,,,,,,,,,,,,1
alegro,alegro,n,NC_O,?,,,,,,,,,,,,,,1
alejandrina,alejandrino,n,NC_O,Alexandrian,1,,,,,,,,,,,,,1
alejandrino,alejandrino,n,NC_O,Alexandrian,1,,,,,,,,,,,,,1
algarroba,algarroba,nfs    ,NC_A,carob (fruit),,,,,,,,,,,,,,1
algarrobo,algarrobo,nms    ,NC_O,carob (tree),,,,,,,,,,,,,,1
alienta,aliento,n,NC_O,?,,,,,,,,,,,,,,1
aliento,aliento,nms    ,NC_O,breath,,,,,,,,,,,,,,1
almendra,almendra,nfs    ,NC_A,almond,,,,,,,,,,,,,,1
almendro,almendro,nms    ,NC_O,almond tree,,,,,,,,,,,,,,1
alo,alo,n,NC_O,?,,,,,,,,,,,,,,1
alojada,alojado,n,NC_O,guest,1,,,,,,,,,,,,,1
alojado,alojado,n,NC_O,guest,1,,,,,,,,,,,,,1
alumna,alumna,n,NC_A,alumn,1,,,,,,,,,,,,,1
alumno,alumno,nms    ,NC_O,alumn,1,,,,,,,,,,,,,1
alzada,alzada,nfs    ,NC_A,height/elevation,,,,,,,,,,,,,,1
alzado,alzado,nms    ,NC_O,elevation,,1,,,,,,,,,,,,1
ama,ama,nfs    ,NC_A,proprietress,1,,,,,,,,,,,,,1
amada,amada,n,NC_A,?,,,,,,,,,,,,,,1
amado,amado,nms    ,NC_O,?,,,,,,,,,,,,,,1
americana,americana,nfs    ,NC_A,American,1,,,,,,,,,,,,,1
americano,americano,nms    ,NC_O,American,1,,,,,,,,,,,,,1
amiga,amigo,n,NC_O,friend,1,,,,,,,,,,,,,1
amigo,amigo,n,NC_O,friend,1,,,,,,,,,,,,,1
amiguita,amiguita,n,NC_A,friend,1,,1,,,,,,,,,,,1
amiguito,amiguito,n,NC_O,friend,1,,1,,,,,,,,,,,1
amina,amina,nfs    ,NC_A,amine,,,,,,,,,,,,,,1
amino,amino,nms    ,NC_O,amino,,,,,,,,,,,,,,1
amo,amo,nms    ,NC_O,proprieter,1,,,,,,,,,,,,,1
ana,ana,nfs    ,NC_A,?,,,,,,,,,,,,,,1
anciana,anciana,n,NC_A,ancient person,1,,,,,,,,,,,,,1
anciano,anciano,nms    ,NC_O,ancient person,1,,,,,,,,,,,,,1
anilla,anilla,nfs    ,NC_A,ring,,,,,,,,,,,,,,1
anillo,anillo,nms    ,NC_O,ring,,,,,,,,,,,,,,1
ano,ano,nms    ,NC_O,anus,,1,,,,,,,,,,,,1
antropóloga,antropólogo,nfs    ,NC_O,antrholopogist,1,,,,,,,,,,,,,1
antropólogo,antropólogo,nms    ,NC_O,antrholopogist,1,,,,,,,,,,,,,1
ao,ao,n,NC_O,,,,,,,,,,,,,,,1
apelativa,apelativo,n,NC_O,?,,,,,,,,,,,,,,1
apelativo,apelativo,nms    ,NC_O,epithet/surname,,,,,,,,,,,,,,1
apoderada,apoderado,n,NC_O,guardian,1,,,,,,,,,,,,,1
apoderado,apoderado,nms    ,NC_O,guardian,1,,,,,,,,,,,,,1
aprovechada,aprovechada,nfs    ,NC_A,freeloader,1,,,,,,,,,,,,,1
aprovechado,aprovechado,nms    ,NC_O,freeloader,1,,,,,,,,,,,,,1
arenera,arenero,n,NC_O,sand vendor/ litter box/sandbox,,,,,,,,,,,,,,1
arenero,arenero,n,NC_O,sand vendor,,,,,,,,,,,,,,1
armónica,armónica,nfs    ,NC_A,Armenian,1,,,,,,,,,,,,,1
armónico,armónico,nms    ,NC_O,Armenian,1,,,,,,,,,,,,,1
arqueóloga,arqueólogo,nfs    ,NC_O,Archeologist,1,,,,,,,,,,,,,1
arqueólogo,arqueólogo,nms    ,NC_O,Archeologist,1,,,,,,,,,,,,,1
arquitecta,arquitecto,n,NC_O,Architect,1,,,,,,,,,,,,,1
arquitecto,arquitecto,nms    ,NC_O,Architect,1,,,,,,,,,,,,,1
arrendataria,arrendatario,n,NC_O,Tenant,1,,,,,,,,,,,,,1
arrendatario,arrendatario,nms    ,NC_O,Tenant,1,,,,,,,,,,,,,1
astróloga,astrólogo,nfs    ,NC_O,Astrologist,1,,,,,,,,,,,,,1
astrólogo,astrólogo,nms    ,NC_O,Astrologist,1,,,,,,,,,,,,,1
astrofísica,astrofísica,nfs    ,NC_A,Astrophysicist,1,,,,,,,,,,,,,1
astrofísico,astrofísico,nms    ,NC_O,Astrophysicist,1,,,,,,,,,,,,,1
auditiva,auditiva,n,NC_A,receiver,1,,,,,,,,,,,,,1
auditivo,auditivo,nms    ,NC_O,receiver,1,,,,,,,,,,,,,1
autógrafa,autógrafo,n,NC_O,?,,,,,,,,,,,,,,1
autógrafo,autógrafo,nms    ,NC_O,autograph,,,,,,,,,,,,,,1
aventurera,aventurera,nfs    ,NC_A,adventurer,1,,,,,,,,,,,,,1
aventurero,aventurero,nms    ,NC_O,adventurer,1,,,,,,,,,,,,,1
azucarera,azucarera,nfs    ,NC_A,sugar bowl,,,,,,,,,,,,,,1
azucarero,azucarero,nms    ,NC_O,sugar bowl,,,,,,,,,,,,,,1
bárbara,bárbara,nfs    ,NC_A,barbarian,1,,,,,,,,,,,,,1
bárbaro,bárbaro,nms    ,NC_O,barbarian,1,,,,,,,,,,,,,1
bípeda,bípedo,n,NC_O,bipedal,1,,,,,,,,,,,,,1
bípedo,bípedo,n,NC_O,bipedal,1,,,,,,,,,,,,,1
ba,ba,n,NC_A,?,,,,,,,,,,,,,,1
banana,banana,nms    ,NC_A,banana,,,,,,,,,,,,,,1
banano,banano,nms    ,NC_O,banana,,,,,,,,,,,,,,1
bandida,bandido,n,NC_O,outlaw,1,,,,,,,,,,,,,1
bandido,bandido,nms    ,NC_O,outlaw,1,,,,,,,,,,,,,1
barca,barca,nfs    ,NC_A,small boat,,,,,,,,,,,,,,1
barco,barco,nms    ,NC_O,boat,,,,,,,,,,,,,,1
barranca,barranca,nfs    ,NC_A,canyon,,,,,,,,,,,,,,1
barranco,barranco,nms    ,NC_O,gully/ravine,,,,,,,,,,,,,,1
barrida,barrida,nfs    ,NC_A,instance of sweeping,,,,,,,,,,,,,,1
barrido,barrido,nms    ,NC_O,act of sweeping,,,,,,,,,,,,,,1
bebita,bebita,n,NC_A,drink,,,,1,,,,,,,,,,1
bebito,bebito,n,NC_O,little baby,1,,1,1,,,,,,,,,,1
becaria,becaria,nfs    ,NC_A,grant-holder,1,,,,,,,,,,,,,1
becario,becario,nms    ,NC_O,grant-holder,1,,,,,,,,,,,,,1
becerra,becerra,nfs    ,NC_A,heifer/uncooked unleavened dough,,,,,,,,,,,,,,1
becerro,becerro,nms    ,NC_O,calf,,,,,,,,,,,,,,1
beneficiada,beneficiado,n,NC_O,beneficiary,1,,,,,,,,,,,,,1
beneficiado,beneficiado,n,NC_O,beneficiary,1,,,,,,,,,,,,,1
beta,beta,nfs    ,NC_A,beta (letter),,,,,,,,,,,,,,1
beto,beto,n,NC_O,short for Alberto,,,,,,,,,,,,,,1
biógrafa,biógrafa,nfs    ,NC_A,biographer,1,,,,,,,,,,,,,1
biógrafo,biógrafo,nms    ,NC_O,biographer,1,,,,,,,,,,,,,1
bióloga,biólogo,nfs    ,NC_O,biologist,1,,,,,,,,,,,,,1
biólogo,biólogo,nms    ,NC_O,biologist,1,,,,,,,,,,,,,1
bibliotecaria,bibliotecaria,n,NC_A,librarian,1,,,,,,,,,,,,,1
bibliotecario,bibliotecario,nms    ,NC_O,librarian,1,,,,,,,,,,,,,1
bichilla,bichilla,n,NC_A,little bicha,,,1,,,,,,,,,,,1
bichillo,bichillo,n,NC_O,litte bicho,,,1,,,,,,,,,,,1
