word,lemma,POS,IC
compra,compra,nfs,nc_a
miembro,miembro,nms,nc_o
escena,escena,nfs,nc_a
carga,carga,nfs,nc_a
artista,artista,nms,nc_a
municipio,municipio,nms,nc_o
cuidado,cuidado,nms,nc_o
conducta,conducta,nfs,nc_a
niña,niña,nfs,nc_a
sonido,sonido,nms,nc_o
llegada,llegada,nfs,nc_a
barrio,barrio,nms,nc_o
derecha,derecha,nfs,nc_a
puesto,puesto,nms,nc_o
manejo,manejo,nms,nc_o
rato,rato,nms,nc_o
individuo,individuo,nms,nc_o
chica,chica,nfs,nc_a
biblia,biblia,nms,nc_a
pelo,pelo,nms,nc_o
registro,registro,nms,nc_o
vía,vía,nfs,nc_a
capítulo,capítulo,nms,nc_o
delito,delito,nms,nc_o
poca,poco,dxfs-ind-,nc_o
caso,caso,n,nc_o
ojo,ojo,nms,nc_o
jornada,jornada,nfs,nc_a
dominio,dominio,nms,nc_o
victoria,victoria,nfs,nc_a
oficina,oficina,nfs,nc_a
amiga,amiga,nfs,nc_a
vivienda,vivienda,nfs,nc_a
temperatura,temperatura,nfs,nc_a
maestro,maestro,nms,nc_o
último,último,n,nc_o
banco,banco,nms,nc_o
edificio,edificio,nms,nc_o
plata,plata,nms,nc_a
cama,cama,nfs,nc_a
ingreso,ingreso,nms,nc_o
recurso,recurso,nms,nc_o
perro,perro,nms,nc_o
rostro,rostro,nms,nc_o
sujeto,sujeto,nms,nc_o
plataforma,plataforma,nfs,nc_a
técnica,técnica,nfs,nc_a
saludo,saludo,nms,nc_o
idioma,idioma,nms,nc_a
costa,costa,nfs,nc_a
planta,planta,nfs,nc_a
intento,intento,nms,nc_o
protagonista,protagonista,nms,nc_a
foro,foro,nms,nc_o
crítica,crítica,nfs,nc_a
consejo,consejo,nms,nc_o
comienzo,comienzo,nms,nc_o
cuento,cuento,nms,nc_o
petróleo,petróleo,nms,nc_o
esencia,esencia,nfs,nc_a
formato,formato,nms,nc_o
compañero,compañero,nms,nc_o
silencio,silencio,nms,nc_o
criterio,criterio,nms,nc_o
llamado,llamado,nms,nc_o
ventaja,ventaja,nfs,nc_a
toma,toma,nfs,nc_a
tienda,tienda,nfs,nc_a
tono,tono,nms,nc_o
piedra,piedra,nfs,nc_a
plaza,plaza,nfs,nc_a
caja,caja,nfs,nc_a
mentira,mentira,nfs,nc_a
hermana,hermana,nfs,nc_a
clima,clima,nms,nc_a
caída,caída,nfs,nc_a
cita,cita,nfs,nc_a
basura,basura,nfs,nc_a
letra,letra,nfs,nc_a
esposo,esposo,nms,nc_o
espera,espera,nfs,nc_a
piso,piso,nms,nc_o
dictadura,dictadura,nfs,nc_a
vino,vino,nms,nc_o
ciudadano,ciudadano,nms,nc_o
madera,madera,nms,nc_a
enemigo,enemigo,nms,nc_o
incremento,incremento,nms,nc_o
audiencia,audiencia,nfs,nc_a
escala,escala,n,nc_a
playa,playa,nfs,nc_a
llamada,llamada,nfs,nc_a
abogado,abogado,nms,nc_o
chico,chico,nms,nc_o
cuadro,cuadro,nms,nc_o
ánimo,ánimo,n,nc_o
partida,partida,nfs,nc_a
plano,plano,nms,nc_o
apertura,apertura,nfs,nc_a
poeta,poeta,nms,nc_a
dueño,dueño,nms,nc_o
infancia,infancia,nfs,nc_a
promedio,promedio,nms,nc_o
lógica,lógica,nfs,nc_a
capitalismo,capitalismo,nms,nc_o
triunfo,triunfo,nms,nc_o
regreso,regreso,nms,nc_o
ventana,ventana,nfs,nc_a
odio,odio,nms,nc_o
funcionario,funcionario,nms,nc_o
denuncia,denuncia,nfs,nc_a
sonrisa,sonrisa,nfs,nc_a
mierda,mierda,nms,nc_a
mecanismo,mecanismo,nms,nc_o
papa,papa,nms,nc_a
patria,patria,nfs,nc_a
periodismo,periodismo,nms,nc_o
novia,novia,nfs,nc_a
patrimonio,patrimonio,nms,nc_o
alimento,alimento,nms,nc_o
anuncio,anuncio,nms,nc_o
orgullo,orgullo,nms,nc_o
baño,baño,nms,nc_o
espalda,espalda,nfs,nc_a
pecho,pecho,nms,nc_o
máximo,máximo,nms,nc_o
postura,postura,nfs,nc_a
novio,novio,nms,nc_o
uso,uso,n,nc_o
extranjero,extranjero,nms,nc_o
seguro,seguro,nms,nc_o
reino,reino,nms,nc_o
carretera,carretera,nfs,nc_a
emergencia,emergencia,nfs,nc_a
estadio,estadio,nms,nc_o
dato,dato,nms,nc_o
fruto,fruto,nms,nc_o
diagnóstico,diagnóstico,nms,nc_o
raza,raza,nfs,nc_a
paro,paro,nms,nc_o
puerto,puerto,nms,nc_o
regalo,regalo,nms,nc_o
cobertura,cobertura,nfs,nc_a
suma,suma,nfs,nc_a
cuello,cuello,nms,nc_o
permiso,permiso,nms,nc_o
técnico,técnico,nms,nc_o
ruido,ruido,nms,nc_o
luna,luna,nfs,nc_a
descanso,descanso,nms,nc_o
pieza,pieza,nfs,nc_a
misterio,misterio,nms,nc_o
carro,carro,nms,nc_o
asesinato,asesinato,nms,nc_o
doctrina,doctrina,nfs,nc_a
cosa,cosa,n,nc_a
político,político,nms,nc_o
periódico,periódico,nms,nc_o
señora,señora,nfs,nc_a
vuelo,vuelo,nms,nc_o
ignorancia,ignorancia,nfs,nc_a
polvo,polvo,nms,nc_o
trato,trato,nms,nc_o
mapa,mapa,nms,nc_a
poquito,poquito,n,nc_o
música,música,n,nc_a
ministerio,ministerio,nms,nc_o
rumbo,rumbo,nms,nc_o
flujo,flujo,nms,nc_o
mandato,mandato,nms,nc_o
frontera,frontera,nfs,nc_a
extremo,extremo,nms,nc_o
minuto,minuto,nms,nc_o
punta,punta,nfs,nc_a
diputado,diputado,nms,nc_o
tabla,tabla,nfs,nc_a
sacrificio,sacrificio,nms,nc_o
pintura,pintura,nfs,nc_a
protesta,protesta,nfs,nc_a
empresario,empresario,nms,nc_o
habia,habia,n,nc_a
bolsa,bolsa,nms,nc_a
hoja,hoja,nfs,nc_a
magia,magia,nfs,nc_a
mandatario,mandatario,nms,nc_o
ética,ética,n,nc_a
tránsito,tránsito,nms,nc_o
alumno,alumno,nms,nc_o
sino,sino,nms,nc_o
panorama,panorama,nms,nc_a
presidenta,presidenta,n,nc_a
escrito,escrito,nms,nc_o
dedo,dedo,nms,nc_o
arquitectura,arquitectura,nfs,nc_a
eficacia,eficacia,nfs,nc_a
mando,mando,nms,nc_o
monto,monto,nms,nc_o
cancha,cancha,nfs,nc_a
brazo,brazo,nms,nc_o
risa,risa,nfs,nc_a
especialista,especialista,nms,nc_a
montaña,montaña,nfs,nc_a
trayectoria,trayectoria,nfs,nc_a
pequeño,pequeño,nms,nc_o
fallo,fallo,nms,nc_o
pelota,pelota,nms,nc_a
laboratorio,laboratorio,nms,nc_o
poema,poema,nms,nc_a
capa,capa,nfs,nc_a
experto,experto,nms,nc_o
trama,trama,nfs,nc_a
imperio,imperio,nms,nc_o
templo,templo,nms,nc_o
directora,directora,n,nc_a
barco,barco,nms,nc_o
rueda,rueda,nfs,nc_a
caballo,caballo,nms,nc_o
promesa,promesa,nfs,nc_a
impulso,impulso,nms,nc_o
cuento,cuento,n,nc_o
plato,plato,nms,nc_o
pa,pa,n,nc_a
onda,onda,nfs,nc_a
esquema,esquema,nms,nc_a
episodio,episodio,nms,nc_o
cinta,cinta,nfs,nc_a
núcleo,núcleo,nms,nc_o
droga,droga,nfs,nc_a
frío,frío,nms,nc_o
castigo,castigo,nms,nc_o
robo,robo,nms,nc_o
vacío,vacío,nms,nc_o
fama,fama,nfs,nc_a
